workload,namespace,nb_of_tenants,config,resource_size,completion_time
sql,silver,11,1_0_0_0,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,184
sql,silver,12,0_0_2_2,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,160
sql,silver,13,0_0_3_1,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,141
sql,silver,15,0_0_3_3,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,141
sql,silver,14,0_0_3_2,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,138
sql,silver,13,0_0_2_3,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,156
sql,silver,12,1_0_0_1,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,179
sql,silver,11,0_1_0_2,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,173
sql,silver,10,0_0_2_1,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,147
sql,silver,9,0_0_1_3,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,148
sql,silver,8,0_1_0_1,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,147
sql,silver,7,0_0_2_0,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,138
sql,silver,6,0_1_0_0,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,143
sql,silver,5,0_0_1_1,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,132
sql,silver,4,0_0_0_3,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,114
sql,silver,3,0_0_1_0,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,121
sql,silver,2,0_0_0_2,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,105
sql,silver,1,0_0_0_1,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,89
sql,silver,2,0_0_0_2,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,98
sql,silver,3,0_0_0_3,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,89
sql,silver,4,0_0_0_3,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,109
sql,silver,5,0_1_0_0,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,130
sql,silver,6,0_0_1_2,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,120
sql,silver,7,0_1_0_1,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,136
sql,silver,8,0_0_1_3,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,126
sql,silver,9,0_0_2_1,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,139
sql,silver,10,1_0_0_0,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,180
sql,silver,11,0_1_1_0,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,164
sql,silver,12,0_1_0_3,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,161
sql,silver,13,0_2_0_0,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,161
sql,silver,14,0_2_0_1,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,152
sql,silver,15,1_1_0_0,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,153
sql,silver,14,1_0_0_3,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,153
sql,silver,13,1_0_0_2,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,150
sql,silver,12,0_1_1_1,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,150
sql,silver,11,0_0_2_2,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,145
sql,silver,10,0_1_0_2,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,150
sql,silver,9,1_0_0_0,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,163
sql,silver,8,0_0_2_1,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,128
sql,silver,7,0_0_1_3,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,121
sql,silver,6,0_0_1_2,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,119
sql,silver,5,0_0_1_2,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,100
sql,silver,4,0_0_0_3,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,122
sql,silver,3,0_0_0_3,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,89
sql,silver,2,0_0_0_2,c4m12Gi_c3m8Gi_c2m4Gi_c1m2Gi,89
